,Name,Review Title,Rating,Reviewed Day,Reviewed Month,Reviewed Year,Verified Purchase,Helpfull No,Review
1,Amazon Customer,Worst phone ever,1.0,25,2,2022,1,"1,258",Hang problem
2,k.mohamed.vaseem,Ok !!! Not up to the mark,2.0,26,2,2022,1,754,I'm writing this review after using 3days !!!Be to honest this is normal Android phoneIt's not like OnePlusCamera quality very low it says 64mp but notSound also lowBattery 🔋 backup ok !!! For one day normal use itsIf ur Gamer don't go for itOverall price it High for this handsetIf u really wanna buy OnePlus ho for higher end modelI'm first time buying OnePlusLittle disappointment
3,ABDUL RAHEEM,Awesome look,5.0,25,2,2022,1,508,Camera is so good n very fast phone back look is awesomeWith dis price segment it's worth it n d most important thing is the phone has dedicated memory card slot I think dis is the first one plus phone which has d dedicated slot for memory cardBattery backup is also good n wit the help of 65w charger u can charge ur phone frm 50-100% in just 15 minsIt has the super vooc charger frm Dat u can charge ur phone very fastVery smooth touch n very fast phone u can play games with no lagInternet connectivity is also fast n lightning wit my Jio sim as u can c I hav pasted one photo showing d downloading speed of 11mbps wit my cellular networkI think everyone who wants to buy dis phone just go for itI think oneplus launched dis phone with lots of good features n d most important thing is price is very lessI recommendJust go for itThank u oneplus n Amazon for dis wonderful product
4,Himanshu Thakur,One plus losing is originality!!!,3.0,28,2,2022,1,173,"The media could not be loaded.
                



 It’s A average product decent for day to day activity.. one the thing I would like to mention that exchange was Far Far alot Good On amazon it was like 2 to 3 minutes and delivery agent was very Good with me although I had 2 scratches on it but he neglected it as it was minor scratches and I exchanged poco m2 pro 6 64gb variant which was exchanged for rupees 10100. I bought it at 12499 1 and Half year ago and sold it at at very good price!! So plus point To amazonComing Back to device I would say it’s a ok device camera is average performance is Fine one plus is losing it’s originality oxygen os to color or..WARP CHARGER TO VOOC CHARGER!! yes it has been taken by oppo!! I wish the way we believed in one plus doesn’t change with it as A one plus Fan We don’t want To merge with Other brands please keep your Originality Maintained!! thanx amazon for such a hasselfree exchange alot better than FLIPKART"
5,SUMAN KUMAR,Camera is not good... oppo is the best,3.0,25,2,2022,1,64,"Phone is over all good but some heating problem,and selfie 🤳 is not too good.Other wise phone is good"
6,Shivansh Agal,Fantastic but some bug fixes required!,4.0,26,2,2022,1,95,"The media could not be loaded.
                



 Phone is is Fab!But sometime apps like Gaana, LinkedIn, etc are crashing, I think need to fix some bugs from OnePlus end.However, camera is good, finishing quality is good, sound effect could be better(not that load as compared to iPhone or other Mi phones)Touch is awesome, finger print sensor works too fast, excellent face detection unlockMost sexiest thing is charging, it charges way too quickly, 35-40min approx for full chageMany more extra features from Android Oxygen & One plus!!Phone is handy & a good buy in this range!"
7,Rajnish Dhull,Something is missing,3.0,26,2,2022,1,74,"Cons-1. Some apps, settings are like color os2. Shot on one plus - daily wallpaper feature is not there3. Weight not well balanced- felt heavier on the edges4. No alert slider5. Screen brightness is not that good ( problem when outside )Pros-1. 65W charging2. External microphone is working with 3.5 mm jack ( previously not supported even with different converters/cables )3. Good looks4. Provided case is also good for protection and looks ok5. Looks are goodNot sure-1. How this mediatek will perform in the long run2. How good the updates going to beIn my previous One Plus ( Nord 2020 ) there were some bugs introduced with each and every update. And one week before the launch of this Nord CE 2, my previous phone had- freezing,lag, hanging issues ( may be some dirty business strategy )"
8,Sachin Panwar,amazing,5.0,25,2,2022,1,57,Very amazingly built & decently featured smartphone...Battery last full day with proper usage & charges really fastVery smooth & accurate fingerprint scannerCamera is decent as per price...Loved it
9,Akanksha,Read,1.0,26,2,2022,1,111,I got my delivery on 23 feb when I unboxed the phone the display was damaged. I requested for replacement of my new phone so technician was suppose to come for inspection but instead of a visit he just talked on call and asked me to install an application. He did not even saw the damage of my display screen.Lets hope amazon does it right replace my phone. Will update the rest later.But amazon pls consider my request and replace the item as soon as possibleEdit- The phone is perfect... They replaced it and now everything is perfect...Camera quality is as expected very perfectOverall performance bestYou can go for it
10,Jaideep Chauhan,Good overall performance,4.0,25,2,2022,1,45,Bought this for my mother on the day of the launch. Lightweight and slim phone. Good look and specifications. The refresh rate is amazing given the cost. Satisfied with the product so far.
