,Name,Review Title,Rating,Reviewed Day,Reviewed Month,Reviewed Year,Verified Purchase,Helpfull No,Review
1,MOHAMED AJAS,Worst da dai...,1.0,3,9,2021,1,"1,295",Received damaged product. really disappointed.
2,Uttam anand,Backwas phone by samsung more expensive  TFT screen  cheap prosseser  quality  very bad,1.0,4,9,2021,1,929,Backwash phone no good phone cheap pro. Mediatek 720 screen TFT and battery charger  slow 15 watt only like 10000 phone ..nothing good..samsung very poor phone ..don't buy in 20000 ...TFT like 5000 phone display
3,Manhar Parmar,The best is the 5G phone,5.0,3,9,2021,1,704,Good 5G phone
4,Rajni Kant,Feels Premium,5.0,4,9,2021,1,194,"Bought it on the first day of launch. Delivered the next day. Very fast delivery by Amazon. Have been using it for last two days.Pros1. Phone has glass at the back which gives it a premium look. Feels stylish to carry it along.2. As usual, Samsung screen is smooth. Good picture clarity.3. Adaptive brightness 8s one of the best I've come across till date.4. Phone is very light.5. Camera quality is also very good. Front camera is also decent.6. Battery life is more than 24hrs for regular browsing over 24*7 wifi connection.7. Fingerprint sensor on right side is handy.Cons1. Charger is only 15 Watt. 25/30 Watt would have been better.2. Nothing else as of now.I feel good holding and using this Phone. If there is any chance then I'll update the review."
5,yashu,Joke.. never buy. 7k features in 20k price. Lol,1.0,6,9,2021,1,186,"I sold the phone sameday somehow on olx in 4k loss. Amazon doesn’t provide return.Phone is a joke.Plain M32 had full hd screen and now with 5G price has gone up by 6k and display is surprisingly half hd(HD+) . This is plain loot.Plastic is cheap.Camera is worst than any 10k phnSlow processorEven screen lags in scrolling, such bad refresh ratePathetic Processor and ramOverall its from 2012 times where HD+ was a thing. This phone is 9 yrs late.Never buy samsung in this segment."
6,Gaurav Srivastava,"Speakers are very weak, you will need headphone or speakers to listen music",1.0,5,9,2021,1,168,"Speakers are very very weak, produce very low sound, you will need headphone or speakers to listen music, I purchased it on first day and now they are just offering replacement which will not solve the purpose as every samsung M32 5G phone has this problem so I would recommend others to not waste their hard earned money in this phone as cost is too high compared to quality"
7,Jitu gupta,Not good phone,1.0,5,9,2021,1,158,"Phone look is nice,Battery drain 65% after normal use 4 hours and 15 min.Camera is not as 48 mp if I compare my vivo phone 13 Mp is better than thisIf I talk about all over performance so phone is only good looking else nothing is in this device is goodPlz don't waste your money"
8,Joha,Camera is worst. Touch pad is not working. Worst ever mobile. Don't buy any phones from Amazon e,1.0,6,9,2021,1,110,Camera quality is terrible. Touch pad is not working. I have raised a complaint asking for refund.
9,Amal,Good,5.0,6,9,2021,1,74,"I will suggest this phone for those have network issue, my previous poco phone gives me 2 to 4 Mbps speed on Airtel network,but this samsung 5g gives me excellent signal inside home and rocking speed of 35 Mbps on Airtel network, although the price is high that the competitors but is worth because of samsung quality"
10,anusha p,Poor camera,1.0,5,9,2021,1,75,Dislike- camera
11,Charanjeet Singh,Not upto mark at this price. Screen resolution and quality is not good,3.0,6,9,2021,1,67,They really need to work like motorola
12,Pradeep S,"This phone is not at all worth for this price range,",1.0,21,9,2021,1,64,"After using one month I am writing this review,1. Galaxy M30s is better when compared to M32 5G, M30s has good battery capacity and camera quality,2. The camera quality is poor and the pixels.3. In this phone we can expect only 5G option that too we have to check after upgrading the sim.4. Regarding softwares I will post after updating the new software installation from Samsung,"
13,Nilesh Pethkar,Awesome 👍,4.0,4,9,2021,1,51,"Received what I ordered.Received on time which is good, Thanks Amazon Team.Good Quality mobile from Samsung.Cheapest 5g ever with 12 band support.Purchased for my wife she is happy with phone.This worth and value for money 💰 I would say.Sky Blue 🔵 color looks premium!"
14,prabu,Over heat is produced while charging and while using the phone,2.0,8,9,2021,1,45,Over heat is produced while charging and when wattsapp messages receive and downloading. Spoke to customer care executive but they are not ready to take return
15,Madhu Nagavelly,Wierd finger print location and lot of issues,1.0,5,9,2021,1,38,"Good phone till now except the finger print button location which accidentally pressed always when we are holding the phoneUpdate: reducing a starFacing glitches, not able to hear when I call to some body at first, if I keep try 2nd or 3rd time, then only I can hear.If it connect first then voice is not clear. Never faced any of these in my earlier realme phCharging time taking hell lot of time.Update: pls don't this phone, it's speaker is not clear, when I call its giving some disturbance not able hear the voice clearly"
16,Ganesh,Worst mobile with high price and wrost response by amazon team,1.0,28,9,2021,1,41,"The quality of camera, screen and performance or not at all good.camera quality is very very poor not even capturing photo like a phone of cost 3k. And the return policy of amazon was worst. Not a proper response by the executives of amazon. They are not accepting the return of this product, don't know the reason behind this. Dont  Why they are enecouranging sale of this product,  when they are getting similar problem form multiple customers.  Belief on amazon have worsening day by day.. literally disopinted with the amazon."
17,Amazon Customer,Sumsung lunch another wort Mobile,1.0,14,9,2021,1,41,"It's a worst mobile phone ever, Samsung proof that they are loos their credibility in India. This phone can not be worth more than  8k to 10 k. Camera is very poor, You can only use single Sim if you are using Micro SD card, Display is very poor , plz don't buy this phone. I think Samsung is going footprint of NOKIA ."
18,Priyank Joglekar,Best phone in price range,5.0,4,9,2021,1,35,"Smooth touch, future ready with 5g, sleek design, expandable memory option upto 1 tb.First impression of the phone is good,when used phone continuously for over 2 hrs, videos and downloads and battery went from 50% to 25%, so i expect it to run for a day with full charge. Fast charge is also excellent, but not like other fast charges available in market. Its 1 min for 1% approxThere has been a issue with the M series of phones with UI not responding and system hangs, but this processor on m32 seems to be strong and they have I reckon resolved the issue (recommended not to use Samsung in build apps much as they consume lot of data and there is unnecessary lots of cashed data stored).Camera is OK, but they have lot of features like macro cam for close up night mode and have snap chat filters pre-added on camera which makes it fun and handy.Overall a perfect buy at this price range."
19,Santhosh,Good basic 5G phone,4.0,7,9,2021,1,31,"Cons:1. Charger Adapter is only 15W Fast Charging unit. It takes  nearly 2 hours to get fully charged2. Charger wire length is less than 2 feet (comparatively less to the normal length of Charger wire )3. Fully charged phone will stand only 1 day if we use the phone at full level (use internet + calls ) through out the day.Pros:1. We can use secure folder option for securing confidential info/apps and data when we hand over the phone to some body either using finger print or pin or a pattern which is different from phone pattern.2. I got phone with RAM of 6 GB and installed several apps and used , phone doesn't show any slow down in speed.3. Finger print sensor at side switch on/off button seems to be attractive."
